Compound.Type,Column,Compound.Name,Compound.Name_old,Compound.Name_figure,Compound.Name_SQL,QE.LinRange,QE.RF.ratio,QE.RSD,TQS.LinRange,TQS.RF.ratio,TQS.RSD,Emperical.Formula,RT..min.,m.z,ionization_form,z,C0,ChEBI,ChEBI_old,Fraction1,Fraction2,Liquid.Fraction,Conc..uM,HILICMix,Date.added,KEGGNAME,IUPAC.Name,InChI.Key.Name,Canon.SMILES.Name,Classyfire
Nucleoside,HILIC,Guanosine,Guanosine,Guanosine,Guanosine,NA,NA,NA,NA,NA,NA,C10H13N5O5,9.06,284.099495,[M+H],1,cpd:C00387,NA,CHEBI:16750,HILICPos,NA,Aq,4,Mix2,160401,Guanosine,"2-amino-9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one",NYHBQMYGNKIUIF-UUOKFMHZSA-N,C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(NC2=O)N,kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: Purine_nucleosides; subclass: Purine_nucleosides; level 5: Purine_nucleosides; level 6: Purine_nucleosides; level 7: Purine_nucleosides; level 8: Purine_nucleosides
Nucleoside,HILIC,Guanosine,Guanosine,Guanosine,Guanosine,100 - >10000,0.609,13.7,<10 - 1000,4.329,16.5,C10H13N5O5,9.06,282.083845,[M-H],-1,cpd:C00387,NA,CHEBI:16750,HILICNeg,NA,Aq,4,Mix2,160401,Guanosine,"2-amino-9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one",NYHBQMYGNKIUIF-UUOKFMHZSA-N,C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(NC2=O)N,kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: Purine_nucleosides; subclass: Purine_nucleosides; level 5: Purine_nucleosides; level 6: Purine_nucleosides; level 7: Purine_nucleosides; level 8: Purine_nucleosides
Nucleoside,HILIC,Thymidine,Thymidine,Thymidine,Thymidine,1000 - >10000,0.909,17.7,500 - 1000,1.336,21.1,C10H14N2O5,3.27,241.082448,[M-H],-1,cpd:C00214,NA,CHEBI:17748,HILICNeg,NA,Aq,4,Mix1,160401,Thymidine; Deoxythymidine,"1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione",IQFYYKKMVGJFEH-XLPZGREQSA-N,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)O,kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: Pyrimidine_nucleosides; subclass: Pyrimidine_2-deoxyribonucleosides; level 5: Pyrimidine_2-deoxyribonucleosides; level 6: Pyrimidine_2-deoxyribonucleosides; level 7: Pyrimidine_2-deoxyribonucleosides; level 8: Pyrimidine_2-deoxyribonucleosides
Nucleoside,HILIC,Uridine,Uridine,Uridine,Uridine,100 - >10000,0.91,13.1,<10 - 1000,0.965,22.1,C9H12N2O6,6.02,243.061713,[M-H],-1,cpd:C00299,NA,CHEBI:16704,HILICNeg,NA,Aq,4,Mix2,160401,Uridine,"1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidine-2,4-dione",DRTQHJPVMGBUCF-XVFCMESISA-N,C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O,kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: Pyrimidine_nucleosides; subclass: Pyrimidine_nucleosides; level 5: Pyrimidine_nucleosides; level 6: Pyrimidine_nucleosides; level 7: Pyrimidine_nucleosides; level 8: Pyrimidine_nucleosides
Nucleotide sugar,HILIC,UDP-N-acetylglucosamine,UDP-glucosamine,UDP-glucosamine,UDP glucosamine,20 - >10000,0.881,16.5,100 - >10000,1.068,12.3,C17H27N3O17P2,12.75,606.073753,[M-H],-1,cpd:C00043,NA,CHEBI:16264,HILICNeg,NA,Aq,4,Mix2,160401,UDP-N-acetyl-alpha-D-glucosamine; UDP-N-acetyl-D-glucosamine; UDP-N-acetylglucosamine,"[(2R,3R,4R,5S,6R)-3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl] [[(2R,3S,4R,5R)-5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] hydrogen phosphate",LFTYTUAZOPRMMI-CFRASDGPSA-N,CC(=O)NC1C(C(C(OC1OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)CO)O)O,kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: Pyrimidine_nucleotides; subclass: Pyrimidine_nucleotide_sugars; level 5: Pyrimidine_nucleotide_sugars; level 6: Pyrimidine_nucleotide_sugars; level 7: Pyrimidine_nucleotide_sugars; level 8: Pyrimidine_nucleotide_sugars
Nucleotide sugar,HILIC,UDP-glucose,UDP-glucose,UDP-glucose,UDP glucose,20 - >10000,0.747,14.6,<10 - >10000,0.928,9.4,C15H24N2O17P2,13.59,565.047204,[M-H],-1,cpd:C00029,NA,CHEBI:18066,HILICNeg,NA,Aq,4,Mix2,160401,UDP-glucose; UDPglucose; UDP-D-glucose; Uridine diphosphate glucose; UDP-alpha-D-glucose,"[[(2R,3S,4R,5R)-5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] hydrogen phosphate",HSCJRCZFDFQWRP-JZMIEXBBSA-N,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O,kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: Pyrimidine_nucleotides; subclass: Pyrimidine_nucleotide_sugars; level 5: Pyrimidine_nucleotide_sugars; level 6: Pyrimidine_nucleotide_sugars; level 7: Pyrimidine_nucleotide_sugars; level 8: Pyrimidine_nucleotide_sugars
Organic Acid,HILIC,cis-Aconitic acid,Aconitic Acid,Aconitic acid,Aconitic acid,500 - 1000,1.196,22.6,<10 - 1000,1.175,15.5,C6H6O6,14.21,173.008615,[M-H],-1,cpd:C00417,CHEBI:16383,CHEBI:32805,HILICNeg,NA,Aq,4,Mix1,160401,cis-Aconitate; cis-Aconitic acid,"(Z)-prop-1-ene-1,2,3-tricarboxylic acid",GTZCVFVGUGFEME-IWQZZHSRSA-N,C(C(=CC(=O)O)C(=O)O)C(=O)O,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Tricarboxylic_acids_and_derivatives; level 5: Tricarboxylic_acids_and_derivatives; level 6: Tricarboxylic_acids_and_derivatives; level 7: Tricarboxylic_acids_and_derivatives; level 8: Tricarboxylic_acids_and_derivatives
Organic Acid,HILIC,Citric acid,Citric Acid,Citric acid,Citric acid,500 - >10000,1.136,25,100 - >10000,0.934,6.9,C6H8O7,15.65,191.01918,[M-H],-1,cpd:C00158,CHEBI:16947,CHEBI:30769,HILICNeg,NA,Aq,4,Mix2,160401,"Citrate; Citric acid; 2-Hydroxy-1,2,3-propanetricarboxylic acid; 2-Hydroxytricarballylic acid","2-hydroxypropane-1,2,3-tricarboxylic acid",KRKNYBCHXYNGOX-UHFFFAOYSA-N,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Tricarboxylic_acids_and_derivatives; level 5: Tricarboxylic_acids_and_derivatives; level 6: Tricarboxylic_acids_and_derivatives; level 7: Tricarboxylic_acids_and_derivatives; level 8: Tricarboxylic_acids_and_derivatives
Organic Acid,HILIC,D-Gluconic acid,Gluconic Acid,Gluconic acid,Gluconic acid,20 - 1000,0.568,29.4,<10 - 1000,0.748,10.6,C6H12O7,10.79,195.05048,[M-H],-1,cpd:C00257,CHEBI:18391,CHEBI:33198,HILICNeg,NA,Aq,4,Mix2,160401,D-Gluconic acid; D-Gluconate; D-gluco-Hexonic acid,"(2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanoic acid",RGHNJXZEOKUKBD-SQOUGZDYSA-N,C(C(C(C(C(C(=O)O)O)O)O)O)O,kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Carbohydrates_and_carbohydrate_conjugates; level 5: Sugar_acids_and_derivatives; level 6: Sugar_acids_and_derivatives; level 7: Sugar_acids_and_derivatives; level 8: Sugar_acids_and_derivatives
Organic Acid,HILIC,Isocitric acid,Isocitric Acid,Isocitric acid,Isocitric acid,500 - >10000,0.929,44.7,20 - >10000,0.982,18.4,C6H8O7,15.65,191.01918,[M-H],-1,cpd:C00311,CHEBI:16087,CHEBI:30887,HILICNeg,NA,Aq,4,Mix1,160401,"Isocitrate; Isocitric acid; 1-Hydroxytricarballylic acid; 1-Hydroxypropane-1,2,3-tricarboxylic acid","1-hydroxypropane-1,2,3-tricarboxylic acid",ODBLHEXUDAPZAU-UHFFFAOYSA-N,C(C(C(C(=O)O)O)C(=O)O)C(=O)O,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Tricarboxylic_acids_and_derivatives; level 5: Tricarboxylic_acids_and_derivatives; level 6: Tricarboxylic_acids_and_derivatives; level 7: Tricarboxylic_acids_and_derivatives; level 8: Tricarboxylic_acids_and_derivatives
Organic Acid,HILIC,2-Ketoglutaric acid,Ketoglutaric Acid,Ketoglutaric acid,Ketoglutaric acid,1000 - >10000,0.867,14.7,500 - >10000,1.114,5.9,C5H6O5,10.845,145.0137,[M-H],-1,cpd:C00026,CHEBI:16810,CHEBI:30915,HILICNeg,NA,Aq,4,Mix1,160401,2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid,2-oxopentanedioic acid,KPGXRSRHYNQIFN-UHFFFAOYSA-N,C(CC(=O)O)C(=O)C(=O)O,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Keto_acids_and_derivatives; subclass: Gamma-keto_acids_and_derivatives; level 5: Gamma-keto_acids_and_derivatives; level 6: Gamma-keto_acids_and_derivatives; level 7: Gamma-keto_acids_and_derivatives; level 8: Gamma-keto_acids_and_derivatives
Organic Acid,HILIC,Malic acid,Malic Acid,Malic acid,Malic acid,100 - >10000,0.725,17.8,100 - 1000,0.982,21.4,C4H6O5,11.97,133.0137,[M-H],-1,cpd:C00149,CHEBI:15589,CHEBI:6650,HILICNeg,NA,Aq,4,Mix1,160401,(S)-Malate; L-Malate; L-Apple acid; L-Malic acid; L-2-Hydroxybutanedioic acid; Malate; Malic acid,2-hydroxybutanedioic acid,BJEPYKJPYRNKOW-UHFFFAOYSA-N,C(C(C(=O)O)O)C(=O)O,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Hydroxy_acids_and_derivatives; subclass: Beta_hydroxy_acids_and_derivatives; level 5: Beta_hydroxy_acids_and_derivatives; level 6: Beta_hydroxy_acids_and_derivatives; level 7: Beta_hydroxy_acids_and_derivatives; level 8: Beta_hydroxy_acids_and_derivatives
Organic Acid,HILIC,Fumaric acid,Fumaric Acid,Fumaric acid,Fumaric acid,dl,dl,dl,500 - >10000,0.9,16.5,C4H4O4,12.7,115.003135,[M-H],-1,cpd:C00122,NA,CHEBI:18012,HILICNeg,NA,Aq,4,Mix1,160401,Fumarate; Fumaric acid; trans-Butenedioic acid,(E)-but-2-enedioic acid,VZCYOOQTPOCHFL-OWOJBTEDSA-N,C(=CC(=O)O)C(=O)O,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Dicarboxylic_acids_and_derivatives; level 5: Dicarboxylic_acids_and_derivatives; level 6: Dicarboxylic_acids_and_derivatives; level 7: Dicarboxylic_acids_and_derivatives; level 8: Dicarboxylic_acids_and_derivatives
Organic Acid,HILIC,Lipoic acid,Lipoic Acid,Lipoic acid,Lipoic acid,500 - >10000,0.93,14.2,20 - >10000,1.022,7.8,C8H14O2S2,2.42,205.035699,[M-H],-1,cpd:C00725,NA,CHEBI:16494,HILICNeg,NA,Aq,4,Mix1,160401,Lipoate; Lipoic acid; Thioctic acid; dl-alpha-Lipoic acid; DL-Thioctic acid,5-[(3R)-dithiolan-3-yl]pentanoic acid,AGBQKNBQESQNJD-SSDOTTSWSA-N,C1CSSC1CCCCC(=O)O,kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Dithiolanes; subclass: Lipoic_acids_and_derivatives; level 5: Lipoic_acids_and_derivatives; level 6: Lipoic_acids_and_derivatives; level 7: Lipoic_acids_and_derivatives; level 8: Lipoic_acids_and_derivatives
Organic Acid,HILIC,Methylphosphonic acid,Methylphosphonic Acid,MPA,Methylphosphonic acid,1000 - >10000,dl,dl,100 - >10000,0.759,8.5,CH5O3P,11,94.989808,[M-H],-1,NA,NA,CHEBI:45129,HILICNeg,NA,Aq,4,Mix1,160401,NA,methylphosphonic acid,YACKEPLHDIMKIO-UHFFFAOYSA-N,CP(=O)(O)O,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Organic_phosphonic_acids_and_derivatives; subclass: Organic_phosphonic_acids; level 5: Organic_phosphonic_acids; level 6: Organic_phosphonic_acids; level 7: Organic_phosphonic_acids; level 8: Organic_phosphonic_acids
Organic Acid,HILIC,Orotic acid,Orotic Acid,Orotic acid,Orotic acid,100 - 1000,0.78,13.9,<10 - 1000,0.554,3.7,C5H4N2O4,4.195,155.009283,[M-H],-1,cpd:C00295,NA,CHEBI:16742,HILICNeg,NA,Aq,4,Mix1,160401,Orotate; Orotic acid; Uracil-6-carboxylic acid,"2,4-dioxo-1H-pyrimidine-6-carboxylic acid",PXQPEWDEAKTCGB-UHFFFAOYSA-N,C1=C(NC(=O)NC1=O)C(=O)O,kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Diazines; subclass: Pyrimidines_and_pyrimidine_derivatives; level 5: Pyrimidinecarboxylic_acids_and_derivatives; level 6: Pyrimidinecarboxylic_acids; level 7: Pyrimidinecarboxylic_acids; level 8: Pyrimidinecarboxylic_acids
Organic Acid,HILIC,Oxalic acid,Oxalic Acid,Oxalic acid,Oxalic acid,500 - >10000,dl,dl,500 - >10000,0.717,19.8,C2H2O4,13.235,88.987485,[M-H],-1,cpd:C00209,NA,CHEBI:16995,HILICNeg,NA,Aq,4,Mix1,160401,Oxalate; Oxalic acid; Ethanedioic acid,Oxalic acid,MUBZPKHOEPUJKR-UHFFFAOYSA-N,C(=O)(C(=O)O)O,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Dicarboxylic_acids_and_derivatives; level 5: Dicarboxylic_acids_and_derivatives; level 6: Dicarboxylic_acids_and_derivatives; level 7: Dicarboxylic_acids_and_derivatives; level 8: Dicarboxylic_acids_and_derivatives
Organic Acid,HILIC,Phosphoenolpyruvic acid,PEP,PEP,Phosphoenolpyruvic acid,1000 - >10000,0.668,30.4,500 - >10000,1.369,27.7,C3H5O6P,13.865,166.974553,[M-H],-1,cpd:C00074,NA,CHEBI:18021,HILICNeg,NA,Aq,4,Mix1,160401,Phosphoenolpyruvate; Phosphoenolpyruvic acid; PEP,2-phosphonooxyprop-2-enoic acid,DTBNBXWJWCWCIK-UHFFFAOYSA-N,C=C(C(=O)O)OP(=O)(O)O,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Organic_phosphoric_acids_and_derivatives; subclass: Phosphate_esters; level 5: Phosphate_esters; level 6: Phosphate_esters; level 7: Phosphate_esters; level 8: Phosphate_esters
Organic Acid,HILIC,Succinic acid,Succinic Acid,Succinic acid,Succinic acid,1000 - >10000,dl,dl,500 - 1000,0.965,12.2,C4H6O4,11.9,117.018785,[M-H],-1,cpd:C00042,NA,CHEBI:15741,HILICNeg,NA,Aq,4,Mix1,160401,Succinate; Succinic acid; Butanedionic acid; Ethylenesuccinic acid,butanedioic acid,KDYFGRWQOYBRFD-UHFFFAOYSA-N,C(CC(=O)O)C(=O)O,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Dicarboxylic_acids_and_derivatives; level 5: Dicarboxylic_acids_and_derivatives; level 6: Dicarboxylic_acids_and_derivatives; level 7: Dicarboxylic_acids_and_derivatives; level 8: Dicarboxylic_acids_and_derivatives
Organic Acid - nitrogenous,HILIC,Creatine,Creatine,Creatine,Creatine,20 - >10000,0.945,8.4,<10 - 1000,0.816,3.5,C4H9N3O2,11.34,132.077302,[M+H],1,cpd:C00300,NA,CHEBI:16919,HILICPos,NA,Aq,4,Mix1,160401,Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine,2-[carbamimidoyl(methyl)amino]acetic acid,CVSVTCORWBXHQV-UHFFFAOYSA-N,CN(CC(=O)O)C(=N)N,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids_and_derivatives; level 8: Alpha_amino_acids_and_derivatives
Osmolyte,HILIC,Ectoine,Ectoine,Ectoine,Ectoine,100 - >10000,0.544,14,500 - 1000,1.894,12.8,C6H10N2O2,9.25,141.066403,[M-H],-1,cpd:C06231,NA,CHEBI:27592,HILICNeg,NA,Aq,8,Mix2,160401,Ectoine; L-Ectoine,"(6S)-2-methyl-1,4,5,6-tetrahydropyrimidine-6-carboxylic acid",WQXNXVUDBPYKBA-YFKPBYRVSA-N,CC1=NCCC(N1)C(=O)O,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: L-alpha-amino_acids
Osmolyte,HILIC,Ectoine,Ectoine,Ectoine,Ectoine,NA,NA,NA,NA,NA,NA,C6H10N2O2,9.25,143.082053,[M+H],1,cpd:C06231,NA,CHEBI:27592,HILICPos,NA,Aq,8,Mix2,160401,Ectoine; L-Ectoine,"(6S)-2-methyl-1,4,5,6-tetrahydropyrimidine-6-carboxylic acid",WQXNXVUDBPYKBA-YFKPBYRVSA-N,CC1=NCCC(N1)C(=O)O,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: L-alpha-amino_acids
Osmolyte,HILIC,5-Hydroxyectoine,Hydroxyectoine,Hydroxyectoine,Hydroxyectoine,NA,NA,NA,NA,NA,NA,C6H10N2O3,11.07,159.076968,[M+H],1,cpd:C16432,NA,CHEBI:49432,HILICPos,NA,Aq,0.1,Mix2,160401,5-Hydroxyectoine,"(5S,6S)-5-hydroxy-2-methyl-1,4,5,6-tetrahydropyrimidine-6-carboxylic acid",KIIBBJKLKFTNQO-WHFBIAKZSA-N,CC1=NCC(C(N1)C(=O)O)O,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: L-alpha-amino_acids
Osmolyte,HILIC,2-O-alpha-D-Glucosylglycerol,Glucosylglycerol,Glucosylglycerol,Glucosylglycerol,NA,NA,NA,NA,NA,NA,C9H18O8,10.1,255.107995,[M+H],1,cpd:C11546,NA,CHEBI:82766,HILICPos,NA,Aq,4,Mix2,160401,2-O-(alpha-D-Glucopyranosyl)glycerol; 2-O-alpha-D-Glucosylglycerol,"(2S,3R,4S,5S,6R)-2-(1,3-dihydroxypropan-2-yloxy)-6-(hydroxymethyl)oxane-3,4,5-triol",AQTKXCPRNZDOJU-ZEBDFXRSSA-N,C(C1C(C(C(C(O1)OC(CO)CO)O)O)O)O,kingdom: Organic_compounds; superclass: Lipids_and_lipid-like_molecules; class: Glycerolipids; subclass: Glycosylglycerols; level 5: Glycosylglycerols; level 6: Glycosylglycerols; level 7: Glycosylglycerols; level 8: Glycosylglycerols
Osmolyte,HILIC,Homarine,Homarine,Homarine,Homarine,NA,1.23,10.4,NA,1.177,9.4,C7H7NO2,6.19,138.055503,[M+H],1,NA,NA,CHEBI:69061,HILICPos,NA,Aq,4,Mix2,160401,NA,1-methylpyridin-1-ium-2-carboxylate,BRTLKRNVNFIOPJ-UHFFFAOYSA-N,C[N+]1=CC=CC=C1C(=O)[O-],kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Pyridines_and_derivatives; subclass: Pyridinecarboxylic_acids_and_derivatives; level 5: Pyridinecarboxylic_acids; level 6: Pyridinecarboxylic_acids; level 7: Pyridinecarboxylic_acids; level 8: Pyridinecarboxylic_acids
Peptidoglycan,HILIC,Muramic acid,Muramic Acid,Muramic acid,Muramic acid,1000 - >10000,0.545,23.8,20 - 1000,0.63,15,C9H17NO7,11,252.108329,[M+H],1,cpd:C06470,CHEBI:7027,CHEBI:44312,HILICPos,NA,Aq,4,Mix1,160401,Muramic acid; 3-O-alpha-Carboxyethyl-D-glucosamine; 2-Amino-3-O-[(R)-1-carboxyethyl]-2-deoxy-D-glucopyranose,"(2R)-2-[(3R,4R,5S,6R)-3-amino-2,5-dihydroxy-6-(hydroxymethyl)oxan-4-yl]oxypropanoic acid",MSFSPUZXLOGKHJ-PGYHGBPZSA-N,CC(C(=O)O)OC1C(C(OC(C1O)CO)O)N,kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Carbohydrates_and_carbohydrate_conjugates; level 5: Sugar_acids_and_derivatives; level 6: Sugar_acids_and_derivatives; level 7: Sugar_acids_and_derivatives; level 8: Sugar_acids_and_derivatives
Phytohormone,HILIC,Indole-3-carbinol,Indole 3 carbinol,Indole-3-carbinol,Indole 3 carbinol,100 - >10000,1.007,10.1,500 - >10000,0.973,16.3,C9H9NO,2.395,146.060589,[M-H],-1,NA,NA,CHEBI:24814,HILICNeg,NA,Aq,4,Mix2,160401,NA,1H-indol-3-ylmethanol,IVYPNXXAYMYVSP-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CN2)CO,kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Indoles_and_derivatives; subclass: Indoles; level 5: 3-alkylindoles; level 6: 3-alkylindoles; level 7: 3-alkylindoles; level 8: 3-alkylindoles
Phytohormone,HILIC,Indolepyruvic acid,Indole 3 Pyruvic Acid,I3P acid,Indolepyruvic acid,500 - >10000,0.662,5.1,NA - 1000,1.377,30.4,C11H9NO3,2.375,202.050419,[M-H],-1,cpd:C00331,NA,CHEBI:29750,HILICNeg,NA,Aq,4,Mix2,160401,Indolepyruvate; Indolepyruvic acid; (Indol-3-yl)pyruvate; Indole-3-pyruvate; ,3-(1H-indol-3-yl)-2-oxopropanoic acid,RSTKLPZEZYGQPY-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CN2)CC(=O)C(=O)O,kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Indoles_and_derivatives; subclass: Indolyl_carboxylic_acids_and_derivatives; level 5: Indolyl_carboxylic_acids_and_derivatives; level 6: Indolyl_carboxylic_acids_and_derivatives; level 7: Indolyl_carboxylic_acids_and_derivatives; level 8: Indolyl_carboxylic_acids_and_derivatives
Quorum sensing,HILIC,2-Heptyl-3-hydroxy-quinolone,PQS,PQS,PQS,<10 - 1000,0.821,26.6,<10 - 1000,0.789,37.4,C16H21NO2,2.16,260.165054,[M+H],1,cpd:C11848,NA,CHEBI:29472,HILICPos,NA,Aq,4,Mix1,160401,2-Heptyl-3-hydroxy-quinolone; 2-Heptyl-3-hydroxy-4(1H)-quinolone; 2-Heptyl-3-hydroxy-4-quinolone,2-heptyl-3-hydroxy-1H-quinolin-4-one,CEIUIHOQDSVZJQ-UHFFFAOYSA-N,CCCCCCCC1=C(C(=O)C2=CC=CC=C2N1)O,kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Quinolines_and_derivatives; subclass: Quinolones_and_derivatives; level 5: Hydroxyquinolones; level 6: Hydroxyquinolones; level 7: Hydroxyquinolones; level 8: Hydroxyquinolones
Redox,HILIC,Flavin adenine dinucleotide,FAD,FAD,Flavin adenine dinucleotide,100 - >10000,0.489,23.5,<10 - >10000,0.811,18.1,C27H33N9O15P2,7.585,784.149317,[M-H],-1,cpd:C00016,NA,CHEBI:16238,HILICNeg,NA,Aq,4,Mix2,160401,FAD; Flavin adenine dinucleotide,"[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [(2R,3S,4S)-5-(7,8-dimethyl-2,4-dioxobenzo[g]pteridin-10-yl)-2,3,4-trihydroxypentyl] hydrogen phosphate",VWWQXMAJTJZDQX-UYBVJOGSSA-N,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(COP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)N5C=NC6=C(N=CN=C65)N)O)O)O)O)O,kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: Flavin_nucleotides; subclass: Flavin_nucleotides; level 5: Flavin_nucleotides; level 6: Flavin_nucleotides; level 7: Flavin_nucleotides; level 8: Flavin_nucleotides
Redox,HILIC,Glycerophosphoric acid,glycerol 3 phosphate,G3-phosphate,Glycerophosphoric acid,1000 - 1000,0.83,16.7,100 - >10000,0.828,6.1,C3H9O6P,13.065,171.005853,[M-H],-1,cpd:C00093,NA,CHEBI:15978,HILICNeg,NA,Aq,4,Mix2,160401,sn-Glycerol 3-phosphate; Glycerophosphoric acid; D-Glycerol 1-phosphate,"2,3-dihydroxypropyl dihydrogen phosphate",AWUCVROLDVIAJX-UHFFFAOYSA-N,C(C(COP(=O)(O)O)O)O,kingdom: Organic_compounds; superclass: Lipids_and_lipid-like_molecules; class: Glycerophospholipids; subclass: Glycerophosphates; level 5: Glycerophosphates; level 6: Glycerophosphates; level 7: Glycerophosphates; level 8: Glycerophosphates
Redox,HILIC,NAD,NAD,NAD,NAD,100 - >10000,0.594,15.9,20 - >10000,1.022,19.3,C21H27N7O14P2,10.6,662.101304,[M-H],-1,cpd:C00003,NA,CHEBI:15846,HILICNeg,NA,Aq,4,Mix2,160401,NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide; beta-NAD+,"[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [(2R,3S,4R,5R)-5-(3-carbamoylpyridin-1-ium-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphate",BAWFJGJZGIEFAR-NNYOXOHSSA-N,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N,kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: (5->5)-dinucleotides; subclass: (5->5)-dinucleotides; level 5: (5->5)-dinucleotides; level 6: (5->5)-dinucleotides; level 7: (5->5)-dinucleotides; level 8: (5->5)-dinucleotides
